Name,Type,Category,Price,Location,County,No. of Bedrooms,No. of Bathrooms,No. of Ensuite Bedrooms,Date,Floor_area_sqm,Land_Size,Elevator,Parking,Condition,DSQ,Floor_Number,URL
0.045 ha Land in Kikuyu Town,Land,Land,"KSh 2,250,000","Kikuyu Town, Kikuyu",Kiambu,220,,,2026-06-09,,0.045 ha,0,1,,0,,https://www.buyrentkenya.com/listings/0045-ha-land-for-sale-kikuyu-town-4002836
0.045 ha Land in Gikambura,Land,Land,"KSh 1,200,000","Gikambura, Kikuyu",Kiambu,7,,,2026-06-09,,0.045 ha,0,1,,0,,https://www.buyrentkenya.com/listings/0045-ha-land-for-sale-gikambura-4002943
1 Bed Apartment in Lavington,Residential,Apartment,"KSh 3,000,000",Lavington,Nairobi,1,1,1,2026-06-11,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-lavington-4008201
1 Bed Apartment at Off Nyangumi Rd,Residential,Apartment,"KSh 9,000,000",Kilimani,Nairobi,1,1,1,2026-06-15,59,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4009933
5 Bed House at Mugutha,Residential,House,"KSh 25,500,000",Ruiru,Kiambu,5,6,1,2026-06-15,320,,0,1,New,0,,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-ruiru-4009909
1 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 4,000,000","Westlands Area, Westlands",Nairobi,1,1,1,2026-06-15,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4007220
1 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 4,000,000","Westlands Area, Westlands",Nairobi,1,1,1,2026-06-15,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4007218
2 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 7,000,000","Westlands Area, Westlands",Nairobi,2,2,1,2026-06-15,43,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4006474
2 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 7,000,000","Westlands Area, Westlands",Nairobi,2,2,1,2026-06-15,70,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4006473
3 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 11,000,000","Westlands Area, Westlands",Nairobi,3,3,1,2026-06-15,89,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-westlands-area-4006479
